Id,ActivityDate,key,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,sleep status,Day of Week,Day Type,correlation,Id,SleepDay,key,TotalSleepRecords,TotalSleepMinutes,TotalBedMinutes,Sleep Efficiency %,Day of Week,Day Type,Day of Week,Step Group
1503960366,4/12/2016,1503960366-04/12/2016,13162,8.50,8.50,0,1.88,0.55,6.06,0,25,13,328,728,1985,OK,Tuesday,Weekday,327,1503960366,4/12/2016,1503960366-04/12/2016,1,327,346,94.51,Tuesday,Weekday,Sunday,High Activity
1503960366,4/13/2016,1503960366-04/13/2016,10735,6.97,6.97,0,1.57,0.69,4.71,0,21,19,217,776,1797,OK,Wednesday,Weekday,384,1503960366,4/13/2016,1503960366-04/13/2016,2,384,407,94.35,Wednesday,Weekday,Monday,High Activity
1503960366,4/14/2016,1503960366-04/14/2016,10460,6.74,6.74,0,2.44,0.40,3.91,0,30,11,181,1218,1776,MISSING SLEEP,,,,,,,,,,,,,,
1503960366,4/15/2016,1503960366-04/15/2016,9762,6.28,6.28,0,2.14,1.26,2.83,0,29,34,209,726,1745,OK,Friday,Weekday,412,1503960366,4/15/2016,1503960366-04/15/2016,1,412,442,93.21,Friday,Weekday,Sunday,Low Activity
1503960366,4/16/2016,1503960366-04/16/2016,12669,8.16,8.16,0,2.71,0.41,5.04,0,36,10,221,773,1863,OK,Saturday,Weekend,340,1503960366,4/16/2016,1503960366-04/16/2016,2,340,367,92.64,Saturday,Weekend,Monday,High Activity
1503960366,4/17/2016,1503960366-04/17/2016,9705,6.48,6.48,0,3.19,0.78,2.51,0,38,20,164,539,1728,OK,Sunday,Weekend,700,1503960366,4/17/2016,1503960366-04/17/2016,1,700,712,98.31,Sunday,Weekend,Sunday,Low Activity
1503960366,4/18/2016,1503960366-04/18/2016,13019,8.59,8.59,0,3.25,0.64,4.71,0,42,16,233,1149,1921,MISSING SLEEP,,,,,,,,,,,,,,
1503960366,4/19/2016,1503960366-04/19/2016,15506,9.88,9.88,0,3.53,1.32,5.03,0,50,31,264,775,2035,OK,Tuesday,Weekday,304,1503960366,4/19/2016,1503960366-04/19/2016,1,304,320,95.00,Tuesday,Weekday,Sunday,High Activity
1503960366,4/20/2016,1503960366-04/20/2016,10544,6.68,6.68,0,1.96,0.48,4.24,0,28,12,205,818,1786,OK,Wednesday,Weekday,360,1503960366,4/20/2016,1503960366-04/20/2016,1,360,377,95.49,Wednesday,Weekday,Sunday,High Activity
1503960366,4/21/2016,1503960366-04/21/2016,9819,6.34,6.34,0,1.34,0.35,4.65,0,19,8,211,838,1775,OK,Thursday,Weekday,325,1503960366,4/21/2016,1503960366-04/21/2016,1,325,364,89.29,Thursday,Weekday,Sunday,Low Activity
1503960366,4/22/2016,1503960366-04/22/2016,12764,8.13,8.13,0,4.76,1.12,2.24,0,66,27,130,1217,1827,MISSING SLEEP,,,,,,,,,,,,,,
1503960366,4/23/2016,1503960366-04/23/2016,14371,9.04,9.04,0,2.81,0.87,5.36,0,41,21,262,732,1949,OK,Saturday,Weekend,361,1503960366,4/23/2016,1503960366-04/23/2016,1,361,384,94.01,Saturday,Weekend,Sunday,High Activity
1503960366,4/24/2016,1503960366-04/24/2016,10039,6.41,6.41,0,2.92,0.21,3.28,0,39,5,238,709,1788,OK,Sunday,Weekend,430,1503960366,4/24/2016,1503960366-04/24/2016,1,430,449,95.77,Sunday,Weekend,Sunday,High Activity
1503960366,4/25/2016,1503960366-04/25/2016,15355,9.80,9.80,0,5.29,0.57,3.94,0,73,14,216,814,2013,OK,Monday,Weekday,277,1503960366,4/25/2016,1503960366-04/25/2016,1,277,323,85.76,Monday,Weekday,Sunday,High Activity
1503960366,4/26/2016,1503960366-04/26/2016,13755,8.79,8.79,0,2.33,0.92,5.54,0,31,23,279,833,1970,OK,Tuesday,Weekday,245,1503960366,4/26/2016,1503960366-04/26/2016,1,245,274,89.42,Tuesday,Weekday,Sunday,High Activity
1503960366,4/27/2016,1503960366-04/27/2016,18134,12.21,12.21,0,6.40,0.41,5.41,0,78,11,243,1108,2159,MISSING SLEEP,,,,,,,,,,,,,,
1503960366,4/28/2016,1503960366-04/28/2016,13154,8.53,8.53,0,3.54,1.16,3.79,0,48,28,189,782,1898,OK,Thursday,Weekday,366,1503960366,4/28/2016,1503960366-04/28/2016,1,366,393,93.13,Thursday,Weekday,Sunday,High Activity
1503960366,4/29/2016,1503960366-04/29/2016,11181,7.15,7.15,0,1.06,0.50,5.58,0,16,12,243,815,1837,OK,Friday,Weekday,341,1503960366,4/29/2016,1503960366-04/29/2016,1,341,354,96.33,Friday,Weekday,Sunday,High Activity
1503960366,4/30/2016,1503960366-04/30/2016,14673,9.25,9.25,0,3.56,1.42,4.27,0,52,34,217,712,1947,OK,Saturday,Weekend,404,1503960366,4/30/2016,1503960366-04/30/2016,1,404,425,95.06,Saturday,Weekend,Sunday,High Activity
1503960366,5/1/2016,1503960366-05/01/2016,10602,6.81,6.81,0,2.29,1.60,2.92,0,33,35,246,730,1820,OK,Sunday,Weekend,369,1503960366,5/1/2016,1503960366-05/01/2016,1,369,396,93.18,Sunday,Weekend,Sunday,High Activity
1503960366,5/2/2016,1503960366-05/02/2016,14727,9.71,9.71,0,3.21,0.57,5.92,0,41,15,277,798,2004,OK,Monday,Weekday,277,1503960366,5/2/2016,1503960366-05/02/2016,1,277,309,89.64,Monday,Weekday,Sunday,High Activity
1503960366,5/3/2016,1503960366-05/03/2016,15103,9.66,9.66,0,3.73,1.05,4.88,0,50,24,254,816,1990,OK,Tuesday,Weekday,273,1503960366,5/3/2016,1503960366-05/03/2016,1,273,296,92.23,Tuesday,Weekday,Sunday,High Activity
1503960366,5/4/2016,1503960366-05/04/2016,11100,7.15,7.15,0,2.46,0.87,3.82,0,36,22,203,1179,1819,MISSING SLEEP,,,,,,,,,,,,,,
1503960366,5/5/2016,1503960366-05/05/2016,14070,8.90,8.90,0,2.92,1.08,4.88,0,45,24,250,857,1959,OK,Thursday,Weekday,247,1503960366,5/5/2016,1503960366-05/05/2016,1,247,264,93.56,Thursday,Weekday,Sunday,High Activity
1503960366,5/6/2016,1503960366-05/06/2016,12159,8.03,8.03,0,1.97,0.25,5.81,0,24,6,289,754,1896,OK,Friday,Weekday,334,1503960366,5/6/2016,1503960366-05/06/2016,1,334,367,91.01,Friday,Weekday,Sunday,High Activity
