Id,SleepDay,key,TotalSleepRecords,TotalSleepMinutes,TotalBedMinutes,Sleep Efficiency %,Day of Week,Day Type
1503960366,4/12/2016,1503960366-04/12/2016,1,327,346,94.51,Tuesday,Weekday
1503960366,4/13/2016,1503960366-04/13/2016,2,384,407,94.35,Wednesday,Weekday
1503960366,4/15/2016,1503960366-04/15/2016,1,412,442,93.21,Friday,Weekday
1503960366,4/16/2016,1503960366-04/16/2016,2,340,367,92.64,Saturday,Weekend
1503960366,4/17/2016,1503960366-04/17/2016,1,700,712,98.31,Sunday,Weekend
1503960366,4/19/2016,1503960366-04/19/2016,1,304,320,95.00,Tuesday,Weekday
1503960366,4/20/2016,1503960366-04/20/2016,1,360,377,95.49,Wednesday,Weekday
1503960366,4/21/2016,1503960366-04/21/2016,1,325,364,89.29,Thursday,Weekday
1503960366,4/23/2016,1503960366-04/23/2016,1,361,384,94.01,Saturday,Weekend
1503960366,4/24/2016,1503960366-04/24/2016,1,430,449,95.77,Sunday,Weekend
1503960366,4/25/2016,1503960366-04/25/2016,1,277,323,85.76,Monday,Weekday
1503960366,4/26/2016,1503960366-04/26/2016,1,245,274,89.42,Tuesday,Weekday
1503960366,4/28/2016,1503960366-04/28/2016,1,366,393,93.13,Thursday,Weekday
1503960366,4/29/2016,1503960366-04/29/2016,1,341,354,96.33,Friday,Weekday
1503960366,4/30/2016,1503960366-04/30/2016,1,404,425,95.06,Saturday,Weekend
1503960366,5/1/2016,1503960366-05/01/2016,1,369,396,93.18,Sunday,Weekend
1503960366,5/2/2016,1503960366-05/02/2016,1,277,309,89.64,Monday,Weekday
1503960366,5/3/2016,1503960366-05/03/2016,1,273,296,92.23,Tuesday,Weekday
1503960366,5/5/2016,1503960366-05/05/2016,1,247,264,93.56,Thursday,Weekday
1503960366,5/6/2016,1503960366-05/06/2016,1,334,367,91.01,Friday,Weekday
1503960366,5/7/2016,1503960366-05/07/2016,1,331,349,94.84,Saturday,Weekend
1503960366,5/8/2016,1503960366-05/08/2016,1,594,611,97.22,Sunday,Weekend
1503960366,5/9/2016,1503960366-05/09/2016,1,338,342,98.83,Monday,Weekday
1503960366,5/10/2016,1503960366-05/10/2016,1,383,403,95.04,Tuesday,Weekday
1503960366,5/11/2016,1503960366-05/11/2016,1,285,306,93.14,Wednesday,Weekday
1644430081,5/2/2016,1644430081-05/02/2016,1,796,961,82.83,Monday,Weekday
1844505072,4/15/2016,1844505072-04/15/2016,1,644,961,67.01,Friday,Weekday
1844505072,4/30/2016,1844505072-04/30/2016,1,722,961,75.13,Saturday,Weekend
1844505072,5/1/2016,1844505072-05/01/2016,1,590,961,61.39,Sunday,Weekend
